epoch,train_loss,val_loss,val_snr_gain_db,epoch_time_s
1,2.57469625,2.95757023,-10.82425810,284.0010
2,1.61483779,1.79510012,-10.34869775,318.3256
3,1.40367487,1.66275961,-11.23044230,312.5859
4,1.37640916,1.62972442,-13.09764648,313.0466
5,1.35751710,1.54130131,-13.65937834,312.8983
6,1.35110016,1.85206041,-15.04197002,312.3045
7,1.23913627,1.98081865,-15.51123436,312.1522
8,1.38506638,1.78382246,-16.14769678,312.3372
9,1.29071735,1.32568613,-16.50986380,321.2805
10,1.24306239,1.32374870,-16.66417523,323.5163
